,city,country,lat,lon,temp,humidity,cloudiness,windiness,datetime
299,Vechelde,DE,52.2604,10.3649,278.26,70,90,11.32,1615678459
300,Constitución,CL,-35.3333,-72.4167,286.98,91,15,0.44,1615678460
301,Wenling,CN,28.3669,121.36,287.04,80,48,0.36,1615678460
302,Cabo San Lucas,MX,22.8909,-109.9124,294.38,52,1,4.63,1615678102
303,Ciudad del Carmen,MX,18.6333,-91.8333,301.15,69,20,6.17,1615678461
304,Pine Bluff,US,34.2284,-92.0032,294.56,64,20,4.12,1615678207
305,Yangjiang,CN,21.85,111.9667,293.94,85,2,2.43,1615678462
306,Shimanovsk,RU,52.0,127.7,271.81,84,53,4.83,1615678462
307,Qandala,SO,11.472,49.8728,298.03,71,7,1.19,1615678462
308,Nueve de Julio,AR,-35.4444,-60.8831,299.26,40,2,0.89,1615678463
309,Betioky,MG,-23.7167,44.3833,295.76,77,0,2.88,1615678463
310,Aykhal,RU,66.0,111.5,255.68,94,100,7.73,1615678463
311,Acaraú,BR,-2.8856,-40.12,298.84,84,81,4.38,1615678464
312,Champerico,GT,14.3,-91.9167,297.81,70,75,4.12,1615678464
313,Tyukhtet,RU,56.5389,89.3011,255.81,90,100,6.43,1615678464
314,Askino,RU,56.0901,56.5783,255.04,92,36,4.54,1615678465
315,Natal,BR,-5.795,-35.2094,300.67,69,40,5.66,1615678443
316,Aktau,KZ,43.65,51.2,266.15,53,0,4.0,1615678465
317,Sakakah,SA,29.9697,40.2064,286.15,41,0,1.54,1615678465
318,Kavieng,PG,-2.5744,150.7967,301.94,62,7,1.54,1615678116
319,Aitape,PG,-3.1374,142.3475,301.0,82,100,1.82,1615678466
320,San Cristobal,VE,7.7669,-72.225,299.15,61,40,1.03,1615678164
321,Shakawe,BW,-18.3667,21.85,293.0,75,1,2.1,1615678466
322,Kinablangan,PH,7.6947,126.5503,300.28,77,70,0.52,1615678467
323,Saint George,US,37.1041,-113.5841,282.46,57,1,1.54,1615678209
324,Dali,CN,25.7,100.1833,282.43,64,0,2.02,1615678234
325,Ballina,AU,-28.8667,153.5667,299.43,69,0,4.63,1615678467
326,Lerwick,GB,60.1545,-1.1494,280.15,81,75,13.89,1615678467
327,Vazhiny,RU,60.9644,34.0222,274.0,98,100,2.31,1615678468
328,Marabu,MY,4.4148,114.0089,297.1,100,40,1.54,1615678468
329,Rājpīpla,IN,21.8667,73.5,294.79,21,0,1.78,1615678468
330,Ixtapa,MX,20.7,-105.2,298.37,65,1,5.14,1615678469
331,Rawson,AR,-43.3002,-65.1023,289.88,75,46,9.46,1615678296
332,Hukuntsi,BW,-24.0,21.75,296.19,46,39,3.01,1615678469
333,Mersing,MY,2.4312,103.8405,299.15,89,54,3.09,1615678470
334,Wuxue,CN,29.8506,115.5525,285.86,85,0,2.31,1615678470
335,Macas,EC,-2.3167,-78.1167,294.15,88,75,2.57,1615678470
336,Forsytheganj,BY,52.6333,29.7333,274.06,94,97,4.97,1615678471
337,Carnarvon,AU,-24.8667,113.6333,300.15,74,2,3.6,1615678098
338,Antsohihy,MG,-14.8796,47.9875,295.07,90,52,1.97,1615678344
339,Xining,CN,36.6167,101.7667,279.19,28,99,0.39,1615678102
340,Alofi,NU,-19.0595,-169.9187,302.15,70,44,4.12,1615678471
